 ,Major1,Minor1,Angle1,Major2,Minor2,Angle2
310,33.162,23.996,8.041,32.496,19.199,156.507
311,33.162,23.996,8.041,32.496,19.199,156.507
312,33.162,23.996,8.041,32.496,19.199,156.507
313,33.162,23.996,8.041,32.496,19.199,156.507
314,33.162,23.996,8.041,32.496,19.199,156.507
315,33.162,23.996,8.041,32.496,19.199,156.507
316,33.162,23.996,8.041,32.496,19.199,156.507
317,33.162,23.996,8.041,32.496,19.199,156.507
318,33.162,23.996,8.041,32.496,19.199,156.507
319,33.162,23.996,8.041,32.496,19.199,156.507
320,33.162,23.996,8.041,32.496,19.199,156.507
321,33.162,23.996,8.041,32.496,19.199,156.507
322,33.162,23.996,8.041,32.496,19.199,156.507
323,33.162,23.996,8.041,32.496,19.199,156.507
324,33.162,23.996,8.041,32.496,19.199,156.507
325,33.162,23.996,8.041,32.496,19.199,156.507
326,33.162,23.996,8.041,32.496,19.199,156.507
327,33.162,23.996,8.041,32.496,19.199,156.507
328,33.162,23.996,8.041,32.496,19.199,156.507
329,33.162,23.996,8.041,32.496,19.199,156.507
330,33.162,23.996,8.041,32.496,19.199,156.507
331,33.162,23.996,8.041,32.496,19.199,156.507
332,33.162,23.996,8.041,32.496,19.199,156.507
333,33.162,23.996,8.041,32.496,19.199,156.507
334,33.162,23.996,8.041,32.496,19.199,156.507
335,33.162,23.996,8.041,32.496,19.199,156.507
336,33.162,23.996,8.041,32.496,19.199,156.507
337,33.162,23.996,8.041,32.496,19.199,156.507
338,33.162,23.996,8.041,32.496,19.199,156.507
339,33.162,23.996,8.041,32.496,19.199,156.507
340,33.162,23.996,8.041,32.496,19.199,156.507
341,33.162,23.996,8.041,32.496,19.199,156.507
342,33.162,23.996,8.041,32.496,19.199,156.507
343,33.162,23.996,8.041,32.496,19.199,156.507
344,33.162,23.996,8.041,32.496,19.199,156.507
345,33.162,23.996,8.041,32.496,19.199,156.507
346,33.162,23.996,8.041,32.496,19.199,156.507
347,33.162,23.996,8.041,32.496,19.199,156.507
348,33.162,23.996,8.041,32.496,19.199,156.507
349,33.162,23.996,8.041,32.496,19.199,156.507
350,33.162,23.996,8.041,32.496,19.199,156.507
351,33.162,23.996,8.041,32.496,19.199,156.507
352,33.162,23.996,8.041,32.496,19.199,156.507
353,33.162,23.996,8.041,32.496,19.199,156.507
354,33.162,23.996,8.041,32.496,19.199,156.507
355,33.162,23.996,8.041,32.496,19.199,156.507
356,33.162,23.996,8.041,32.496,19.199,156.507
357,33.162,23.996,8.041,32.496,19.199,156.507
358,33.162,23.996,8.041,32.496,19.199,156.507
359,33.162,23.996,8.041,32.496,19.199,156.507
360,33.162,23.996,8.041,32.496,19.199,156.507
361,33.162,23.996,8.041,32.496,19.199,156.507
362,33.162,23.996,8.041,32.496,19.199,156.507
363,33.162,23.996,8.041,32.496,19.199,156.507
364,33.162,23.996,8.041,32.496,19.199,156.507
365,33.162,23.996,8.041,32.496,19.199,156.507
366,33.162,23.996,8.041,32.496,19.199,156.507
367,33.162,23.996,8.041,32.496,19.199,156.507
368,33.162,23.996,8.041,32.496,19.199,156.507
369,33.162,23.996,8.041,32.496,19.199,156.507
370,33.162,23.996,8.041,32.496,19.199,156.507
371,33.162,23.996,8.041,32.496,19.199,156.507
372,33.162,23.996,8.041,32.496,19.199,156.507
373,33.162,23.996,8.041,32.496,19.199,156.507
374,33.162,23.996,8.041,32.496,19.199,156.507
375,33.162,23.996,8.041,32.496,19.199,156.507
376,33.162,23.996,8.041,32.496,19.199,156.507
377,33.162,23.996,8.041,32.496,19.199,156.507
378,33.162,23.996,8.041,32.496,19.199,156.507
379,33.162,23.996,8.041,32.496,19.199,156.507
380,33.162,23.996,8.041,32.496,19.199,156.507
381,33.162,23.996,8.041,32.496,19.199,156.507
382,33.162,23.996,8.041,32.496,19.199,156.507
383,33.162,23.996,8.041,32.496,19.199,156.507
384,33.162,23.996,8.041,32.496,19.199,156.507
385,33.162,23.996,8.041,32.496,19.199,156.507
386,33.162,23.996,8.041,32.496,19.199,156.507
387,33.162,23.996,8.041,32.496,19.199,156.507
388,33.162,23.996,8.041,32.496,19.199,156.507
389,33.162,23.996,8.041,32.496,19.199,156.507
390,33.162,23.996,8.041,32.496,19.199,156.507
391,33.162,23.996,8.041,32.496,19.199,156.507
392,33.162,23.996,8.041,32.496,19.199,156.507
393,33.162,23.996,8.041,32.496,19.199,156.507
394,33.162,23.996,8.041,32.496,19.199,156.507
395,33.162,23.996,8.041,32.496,19.199,156.507
396,33.162,23.996,8.041,32.496,19.199,156.507
397,33.162,23.996,8.041,32.496,19.199,156.507
398,33.162,23.996,8.041,32.496,19.199,156.507
399,33.162,23.996,8.041,32.496,19.199,156.507
400,33.162,23.996,8.041,32.496,19.199,156.507
401,33.162,23.996,8.041,32.496,19.199,156.507
402,33.162,23.996,8.041,32.496,19.199,156.507
403,33.162,23.996,8.041,32.496,19.199,156.507
404,33.162,23.996,8.041,32.496,19.199,156.507
405,33.162,23.996,8.041,32.496,19.199,156.507
406,33.162,23.996,8.041,32.496,19.199,156.507
407,33.162,23.996,8.041,32.496,19.199,156.507
408,33.162,23.996,8.041,32.496,19.199,156.507
409,33.162,23.996,8.041,32.496,19.199,156.507
410,33.162,23.996,8.041,32.496,19.199,156.507
411,33.162,23.996,8.041,32.496,19.199,156.507
412,33.162,23.996,8.041,32.496,19.199,156.507
413,33.162,23.996,8.041,32.496,19.199,156.507
414,33.162,23.996,8.041,32.496,19.199,156.507
415,33.162,23.996,8.041,32.496,19.199,156.507
416,33.162,23.996,8.041,32.496,19.199,156.507
417,33.162,23.996,8.041,32.496,19.199,156.507
418,33.162,23.996,8.041,32.496,19.199,156.507
419,33.162,23.996,8.041,32.496,19.199,156.507
420,33.162,23.996,8.041,32.496,19.199,156.507
421,33.162,23.996,8.041,32.496,19.199,156.507
422,33.162,23.996,8.041,32.496,19.199,156.507
423,33.162,23.996,8.041,32.496,19.199,156.507
424,33.162,23.996,8.041,32.496,19.199,156.507
425,33.162,23.996,8.041,32.496,19.199,156.507
426,33.162,23.996,8.041,32.496,19.199,156.507
427,33.162,23.996,8.041,32.496,19.199,156.507
428,33.162,23.996,8.041,32.496,19.199,156.507
429,33.162,23.996,8.041,32.496,19.199,156.507
430,33.162,23.996,8.041,32.496,19.199,156.507
431,33.162,23.996,8.041,32.496,19.199,156.507
432,33.162,23.996,8.041,32.496,19.199,156.507
433,33.162,23.996,8.041,32.496,19.199,156.507
434,33.162,23.996,8.041,32.496,19.199,156.507
435,33.162,23.996,8.041,32.496,19.199,156.507
436,33.162,23.996,8.041,32.496,19.199,156.507
